BrokerID,ExchangeID,OrderSysID,InvestorID,UserID,InstrumentID,UserOrderLocalID,OrderPriceType,Direction,OffsetFlag,HedgeFlag,LimitPrice,Volume,TimeCondition,GTDDate,VolumeCondition,MinVolume,StopPrice,ForceCloseReason,IsAutoSuspend,BusinessUnit,UserCustom,BranchID,RecNum,BusinessType,TradingDay,ParticipantID,ClientID,SeatID,InsertTime,OrderLocalID,OrderSource,OrderStatus,CancelTime,CancelUserID,VolumeTraded,VolumeRemain,FrontID,SessionID,FrozenFee,FrozenMargin,FrozenPremium,AccountID,OrderUserID,TradeType,DealFlag,TradeCommision,TradeAmnt,CancleVolume,RequestID,APIID,IPAddress,MacAddress,FTdRecvDown,CoreRecvDown,CoreSendUp,CoreRecvUp,CoreSendDown,FTdSendDown,MarginCombType,InstrumentGroupID,DCEBatchNo
tfqh,CFFEX,       18878,tfqh89083036,89083036,T2103,000000000001,2,1,0,1,97.180000,1,3,,1,0,0.000000,0,0,,,,1,,20201125,0309,01238548,030901,09:30:02,C00000000016,0,0,,,1,0,0,629765425,3.128026,19436.000000,0.000000,89083036,,,1,0.000000,0.000000,0,11,2,,,0,1581298944,1581329408,0,0,0,1,0002,
tfqh,CFFEX,       21689,tfqh89083036,89083036,T2103,000000000002,2,0,3,1,97.170000,1,3,,1,0,0.000000,0,0,,,,1,,20201125,0309,01238548,030901,09:30:04,C00000000017,0,0,,,1,0,0,629765425,0.000000,0.000000,0.000000,89083036,,,1,0.000000,0.000000,0,111,2,,,0,912264704,912271872,912844032,912847872,0,1,0002,
tfqh,CFFEX,       26222,tfqh89002191,89002191,IF2012,1000001046,2,0,1,1,4992.400000,3,3,,1,1,0.000000,0,0,,,,0,1,20201125,0309,00085468,030901,09:30:09,C00000000018,0,5,09:30:10,様,0,3,2,794624024,0.000000,0.000000,0.000000,89002191,,,1,341720923540686919176801631550481015559412702135270901697625334024675449734492713861274547860449829354328988838696559672461949050076794078182182645609809201442386280109790962872290902016.000000,0.000000,3,639,2,192.168.153.23,F8:F2:1E:33:3F:11,50808832,50812672,50822656,51366912,51371264,0,1,0001,
tfqh,CFFEX,       30122,tfqh89002191,89002191,IF2012,1000002047,2,0,1,1,4990.200000,3,3,,1,1,0.000000,0,0,,,,0,1,20201125,0309,00085468,030901,09:30:14,C00000000020,0,5,09:30:14,様,0,3,2,794624024,0.000000,0.000000,0.000000,89002191,,,1,341720923540686919176801631550481015559412702135270901697625334024675449734492713861274547860449829354328988838696559672461949050076794078182182645609809201442386280109790962872290902016.000000,0.000000,3,644,2,192.168.153.23,F8:F2:1E:33:3F:11,233868544,233870336,233875712,0,0,0,1,0001,
tfqh,CFFEX,       66376,tfqh89083036,89083036,T2103,000000000003,2,1,0,1,97.190000,1,3,,1,0,0.000000,0,0,,,,1,,20201125,0309,01238548,030901,09:30:48,C00000000022,0,0,,,1,0,0,629765425,3.128033,19438.000000,0.000000,89083036,,,1,0.000000,0.000000,0,211,2,,,0,1983825152,1983829760,1984997888,1985001984,0,1,0002,
tfqh,CFFEX,      112321,tfqh89083036,89083036,T2103,000000000004,2,0,3,1,97.200000,1,3,,1,0,0.000000,0,0,,,,0,,20201125,0309,01238548,030901,09:31:34,C00000000023,0,5,09:31:34,,0,1,0,629765425,0.000000,0.000000,0.000000,89083036,,,1,0.000000,0.000000,1,311,2,,,0,759812352,759817216,0,0,0,1,0002,
tfqh,CFFEX,      112874,tfqh89083036,89083036,T2103,000000000005,2,0,0,1,97.205000,2,3,,1,0,0.000000,0,0,,,,0,,20201125,0309,01238548,030901,09:31:34,C00000000024,0,5,09:31:35,,0,2,0,629765425,0.000000,0.000000,0.000000,89083036,,,1,0.000000,0.000000,2,511,2,,,0,1264302336,1264305152,0,0,0,1,0002,
tfqh,CFFEX,      113360,tfqh89083036,89083036,T2103,000000000007,2,0,3,1,97.210000,1,3,,1,0,0.000000,0,0,,,,1,,20201125,0309,01238548,030901,09:31:35,C00000000026,0,0,,,1,0,0,629765425,0.000000,0.000000,0.000000,89083036,,,1,0.000000,0.000000,0,711,2,,,0,1759870464,1759873792,0,0,0,1,0002,
tfqh,CFFEX,      113361,tfqh89083036,89083036,T2103,000000000008,2,0,0,1,97.210000,1,3,,1,0,0.000000,0,0,,,,1,,20201125,0309,01238548,030901,09:31:35,C00000000027,0,0,,,1,0,0,629765425,3.128047,19442.000000,0.000000,89083036,,,1,0.000000,0.000000,0,811,2,,,0,1759875584,1759876864,1760444416,1760452096,0,1,0002,
tfqh,CFFEX,      158504,tfqh89002191,89002191,IF2012,1000003048,2,1,1,1,4994.800000,3,3,,1,1,0.000000,0,0,,,,0,1,20201125,0309,00085468,030901,09:32:14,C00000000029,0,5,09:32:14,様,0,3,2,794624024,0.000000,0.000000,0.000000,89002191,,,1,341720923540686919176801631550481015559412702135270901697625334024675449734492713861274547860449829354328988838696559672461949050076794078182182645609809201442386280109790962872290902016.000000,0.000000,3,715,2,192.168.153.23,F8:F2:1E:33:3F:11,527355648,527357440,527363840,527969536,527974400,0,1,0001,
tfqh,CFFEX,      161018,tfqh89002096,89002096,IF2012,1000001049,2,1,1,1,4994.800000,4,3,,1,1,0.000000,0,0,,,,3,1,20201125,0309,01158328,030901,09:32:17,C00000000031,0,5,09:32:17,様,3,1,2,794624020,0.000000,0.000000,0.000000,89002096,,,1,341720923540702377326893700583859796966976430084648097406944159764670078675498519937843706102147974129395316529008409526926075058785503538496826817560432173077080148432785750795550195712.000000,0.000000,1,720,2,192.168.153.23,F8:F2:1E:33:3F:11,929743360,929744640,929751808,930289152,930292480,0,1,0001,
tfqh,CFFEX,      161048,tfqh89002096,89002096,IH2012,1000002050,2,0,1,1,3470.600000,3,3,,1,1,0.000000,0,0,,,,3,1,20201125,0309,01158328,030901,09:32:17,C00000000032,0,0,,様,3,0,2,794624020,0.000000,0.000000,0.000000,89002096,,,1,341720923540702377326893700583859796966976430084648097406944159764670078675498519937843706102147974129395316529008409526926075058785503538496826817560432173077080148432785750795550195712.000000,0.000000,809056256,721,2,192.168.153.23,F8:F2:1E:33:3F:11,979645696,979648000,979652352,980361216,980365568,0,1,0001,
